,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
4569,10150361,0.11,0.013278432226599999,327.6558,0.000346161350252,1.2075,1.0,1.0,0.002,0.03,-0.00279671321612,9,15,17,21,10,5
4570,69969674,0.11,0.0100597657921,327.6558,0.00022305402088299998,0.7489,1.0,1.0,0.002,0.035,-0.007382150438399999,8,14,14,8,8,3
4620,43739818,0.12,0.0098634758469,327.6558,0.00022514010123599997,0.7285,1.0,1.0,0.002,0.005,-0.00676502580221,6,14,17,9,4,4
4621,58824707,0.12,0.013037829122299999,327.6558,0.00038083765306,1.3782,1.0,1.0,0.002,0.01,-0.00388336972082,8,16,18,22,18,11
4622,51629891,0.12,0.0156875046906,327.6558,0.00042703784550800005,1.5502,1.0,1.0,0.002,0.015,-0.00305336730646,8,20,31,22,14,7
4623,45838056,0.12,0.0129436421315,327.6558,0.00039091597654000005,1.3445,1.0,1.0,0.002,0.02,-0.000443878672742,7,19,21,20,15,7
4624,51046779,0.12,0.010736174797399998,327.6558,0.000287044744652,0.9323,1.0,1.0,0.002,0.025,-0.0043068819023,6,10,16,15,9,5
4625,13900277,0.12,0.0148561038469,327.6558,0.0005200475171680001,1.8479,1.0,1.0,0.002,0.03,0.00280474190841,8,17,26,34,20,14
4626,19356345,0.12,0.0106082925581,327.6558,0.00025144195475500003,0.8037,1.0,1.0,0.002,0.035,-0.00521726645762,5,11,17,9,5,6
4676,96309529,0.13,0.0144717370863,327.6558,0.00044150608605,1.5715,1.0,1.0,0.002,0.005,-0.00167101809922,8,20,23,22,19,11
4677,75337280,0.13,0.014387643075200001,327.6558,0.000452924901983,1.6126,1.0,1.0,0.002,0.01,-0.00220285114704,8,18,21,21,21,15
4678,28045437,0.13,0.0125534106274,327.6558,0.00038107493755300004,1.291,1.0,1.0,0.002,0.015,-0.00161632839573,8,18,22,20,14,7
4679,17148068,0.13,0.00797672844842,327.6558,0.00019080444132,0.5661,1.0,1.0,0.002,0.02,-0.007726161426640001,4,8,11,7,4,4
4680,94777847,0.13,0.0111151381455,327.6558,0.00034305839918799996,1.1659,1.0,1.0,0.002,0.025,-0.0037464588025500002,6,12,19,16,12,8
4681,81099101,0.13,0.0121697294573,327.6558,0.00039114494837899996,1.3539,1.0,1.0,0.002,0.03,-0.0022447606643499997,6,15,19,22,13,12
4682,73244425,0.13,0.013711353181900001,327.6558,0.00040360223032999995,1.3759,1.0,1.0,0.002,0.035,-0.00217588624698,9,17,21,16,17,10
4732,94435006,0.14,0.00813021125135,327.6558,0.000231824530757,0.6949,1.0,1.0,0.002,0.005,-0.006663977818539999,4,6,9,10,9,8
4733,17488704,0.14,0.0114506580657,327.6558,0.000346933239567,1.1583,1.0,1.0,0.002,0.01,-0.00456656804529,6,12,19,15,13,9
4734,28432929,0.14,0.012487898350200002,327.6558,0.000415207839079,1.4103,1.0,1.0,0.002,0.015,-0.00201367080369,7,16,24,19,11,12
4735,88696719,0.14,0.015210670540700001,327.6558,0.0004908529919479999,1.7226,1.0,1.0,0.002,0.02,-0.0010516835091900001,10,20,27,25,22,12
