seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
41718271,0.09,32.76558,1.5,0.7989,0.000231933079067,0.0117789059179
41718271,0.09,32.76558,1.75,0.7989,0.000231933079067,0.0125302631673
41718271,0.09,32.76558,2.0,0.7989,0.000231933079067,0.0131801151361
58572594,0.09,32.76558,0.05,0.5345,0.000166058681475,0.000954122648737
58572594,0.09,32.76558,0.25,0.5345,0.000166058681475,0.00264805843427
58572594,0.09,32.76558,0.5,0.5345,0.000166058681475,0.00403797304466
58572594,0.09,32.76558,0.75,0.5345,0.000166058681475,0.00510432583488
58572594,0.09,32.76558,1.0,0.5345,0.000166058681475,0.00597575074438
58572594,0.09,32.76558,1.25,0.5345,0.000166058681475,0.00671013454119
58572594,0.09,32.76558,1.5,0.5345,0.000166058681475,0.00734112551006
58572594,0.09,32.76558,1.75,0.5345,0.000166058681475,0.00789087276513
58572594,0.09,32.76558,2.0,0.5345,0.000166058681475,0.00837503729827
51367753,0.09,32.76558,0.05,1.3333,0.000356367354341,0.00133904311801
51367753,0.09,32.76558,0.25,1.3333,0.000356367354341,0.00437177451777
51367753,0.09,32.76558,0.5,1.3333,0.000356367354341,0.00699050174921
51367753,0.09,32.76558,0.75,1.3333,0.000356367354341,0.0090433010592
51367753,0.09,32.76558,1.0,1.3333,0.000356367354341,0.0107514078854
51367753,0.09,32.76558,1.25,1.3333,0.000356367354341,0.0122157981793
51367753,0.09,32.76558,1.5,1.3333,0.000356367354341,0.013494784326
51367753,0.09,32.76558,1.75,1.3333,0.000356367354341,0.0146264714919
51367753,0.09,32.76558,2.0,1.3333,0.000356367354341,0.0156377247653
65029383,0.09,32.76558,0.05,0.7933,0.000234875142888,0.00132622732585
65029383,0.09,32.76558,0.25,0.7933,0.000234875142888,0.00420239955754
65029383,0.09,32.76558,0.5,0.7933,0.000234875142888,0.00649894816764
65029383,0.09,32.76558,0.75,0.7933,0.000234875142888,0.00817010378725
65029383,0.09,32.76558,1.0,0.7933,0.000234875142888,0.0094816789231
65029383,0.09,32.76558,1.25,0.7933,0.000234875142888,0.0105542200341
65029383,0.09,32.76558,1.5,0.7933,0.000234875142888,0.0114548812091
65029383,0.09,32.76558,1.75,0.7933,0.000234875142888,0.0122256517405
65029383,0.09,32.76558,2.0,0.7933,0.000234875142888,0.0128948196398
81629849,0.09,32.76558,0.05,0.7107,0.000212778876622,0.00116591282212
81629849,0.09,32.76558,0.25,0.7107,0.000212778876622,0.00350491491211
81629849,0.09,32.76558,0.5,0.7107,0.000212778876622,0.00541015324259
81629849,0.09,32.76558,0.75,0.7107,0.000212778876622,0.00684412099951
81629849,0.09,32.76558,1.0,0.7107,0.000212778876622,0.00799842497062
81629849,0.09,32.76558,1.25,0.7107,0.000212778876622,0.00895992715944
81629849,0.09,32.76558,1.5,0.7107,0.000212778876622,0.00977848922958
81629849,0.09,32.76558,1.75,0.7107,0.000212778876622,0.0104863743403
